insee_ar;nom;wikipedia;nb_comm;surf_km2
011;Belley;"fr:Arrondissement de Belley";107;1310
012;Bourg-en-Bresse;"fr:Arrondissement de Bourg-en-Bresse";219;3121
013;Gex;"fr:Arrondissement de Gex";29;425
014;Nantua;"fr:Arrondissement de Nantua";64;927
021;Château-Thierry;"fr:Arrondissement de Château-Thierry";123;1205
022;Laon;"fr:Arrondissement de Laon";278;2479
023;Saint-Quentin;"fr:Arrondissement de Saint-Quentin";126;1076
024;Soissons;"fr:Arrondissement de Soissons";159;1246
025;Vervins;"fr:Arrondissement de Vervins";130;1410
031;Montluçon;"fr:Arrondissement de Montluçon";106;2336
032;Moulins;"fr:Arrondissement de Moulins";111;3018
033;Vichy;"fr:Arrondissement de Vichy";103;2024
041;Barcelonnette;"fr:Arrondissement de Barcelonnette";16;1035
042;Castellane;"fr:Arrondissement de Castellane";32;1337
043;Digne-les-Bains;"fr:Arrondissement de Digne-les-Bains";65;2499
044;Forcalquier;"fr:Arrondissement de Forcalquier";87;2121
051;Briançon;"fr:Arrondissement de Briançon";38;2239
052;Gap;"fr:Arrondissement de Gap";134;3458
061;Grasse;"fr:Arrondissement de Grasse";62;1240
062;Nice;"fr:Arrondissement de Nice";101;3053
071;Largentière;"fr:Arrondissement de Largentière";148;2523
072;Privas;"fr:Arrondissement de Privas";65;1165
073;Tournon-sur-Rhône;"fr:Arrondissement de Tournon-sur-Rhône";126;1876
081;Charleville-Mézières;"fr:Arrondissement de Charleville-Mézières";160;1833
082;Rethel;"fr:Arrondissement de Rethel";101;1203
083;Sedan;"fr:Arrondissement de Sedan";79;793
084;Vouziers;"fr:Arrondissement de Vouziers";123;1416
091;Foix;"fr:Arrondissement de Foix";135;2081
092;Pamiers;"fr:Arrondissement de Pamiers";115;1324
093;Saint-Girons;"fr:Arrondissement de Saint-Girons";82;1503
101;Bar-sur-Aube;"fr:Arrondissement de Bar-sur-Aube";104;1196
102;Nogent-sur-Seine;"fr:Arrondissement de Nogent-sur-Seine";82;1283
103;Troyes;"fr:Arrondissement de Troyes";247;3547
111;Carcassonne;"fr:Arrondissement de Carcassonne";207;2740
112;Limoux;"fr:Arrondissement de Limoux";149;1825
113;Narbonne;"fr:Arrondissement de Narbonne";82;1780
121;Millau;"fr:Arrondissement de Millau";101;3486
122;Rodez;"fr:Arrondissement de Rodez";139;3992
123;Villefranche-de-Rouergue;"fr:Arrondissement de Villefranche-de-Rouergue";64;1295
131;Aix-en-Provence;"fr:Arrondissement d'Aix-en-Provence";44;1533
132;Arles;"fr:Arrondissement d'Arles";36;2285
133;Marseille;"fr:Arrondissement de Marseille";21;674
134;Istres;"fr:Arrondissement d'Istres";18;755
141;Bayeux;"fr:Arrondissement de Bayeux";126;964
142;Caen;"fr:Arrondissement de Caen";288;2004
143;Lisieux;"fr:Arrondissement de Lisieux";204;1667
144;Vire;"fr:Arrondissement de Vire";88;968
151;Aurillac;"fr:Arrondissement d'Aurillac";96;1953
152;Mauriac;"fr:Arrondissement de Mauriac";55;1287
153;Saint-Flour;"fr:Arrondissement de Saint-Flour";109;2533
161;Angoulême;"fr:Arrondissement d'Angoulême";153;2225
162;Cognac;"fr:Arrondissement de Cognac";112;1474
163;Confolens;"fr:Arrondissement de Confolens";139;2273
171;Jonzac;"fr:Arrondissement de Jonzac";114;1539
172;Rochefort;"fr:Arrondissement de Rochefort";79;1534
173;"La Rochelle";"fr:Arrondissement de La Rochelle";57;828
174;Saintes;"fr:Arrondissement de Saintes";107;1563
175;Saint-Jean-d'Angély;"fr:Arrondissement de Saint-Jean-d'Angély";115;1452
181;Bourges;"fr:Arrondissement de Bourges";131;2828
182;Saint-Amand-Montrond;"fr:Arrondissement de Saint-Amand-Montrond";116;2701
183;Vierzon;"fr:Arrondissement de Vierzon";43;1777
191;Brive-la-Gaillarde;"fr:Arrondissement de Brive-la-Gaillarde";99;1530
192;Tulle;"fr:Arrondissement de Tulle";118;2584
193;Ussel;"fr:Arrondissement d'Ussel";69;1784
211;Beaune;"fr:Arrondissement de Beaune";194;2126
212;Dijon;"fr:Arrondissement de Dijon";259;3061
213;Montbard;"fr:Arrondissement de Montbard";253;3614
221;Dinan;"fr:Arrondissement de Dinan";101;1789
222;Guingamp;"fr:Arrondissement de Guingamp";90;1991
223;Lannion;"fr:Arrondissement de Lannion";60;920
224;Saint-Brieuc;"fr:Arrondissement de Saint-Brieuc";122;2285
231;Aubusson;"fr:Arrondissement d'Aubusson";118;2557
232;Guéret;"fr:Arrondissement de Guéret";142;3041
241;Bergerac;"fr:Arrondissement de Bergerac";159;2195
242;Nontron;"fr:Arrondissement de Nontron";80;1666
243;Périgueux;"fr:Arrondissement de Périgueux";196;3398
244;Sarlat-la-Canéda;"fr:Arrondissement de Sarlat-la-Canéda";122;1961
251;Besançon;"fr:Arrondissement de Besançon";268;1950
252;Montbéliard;"fr:Arrondissement de Montbéliard";171;1261
253;Pontarlier;"fr:Arrondissement de Pontarlier";155;2044
261;Die;"fr:Arrondissement de Die";104;2288
262;Nyons;"fr:Arrondissement de Nyons";142;2376
263;Valence;"fr:Arrondissement de Valence";123;1893
271;"Les Andelys";"fr:Arrondissement des Andelys";175;1543
272;Bernay;"fr:Arrondissement de Bernay";263;2194
273;Évreux;"fr:Arrondissement d'Évreux";237;2293
281;Chartres;"fr:Arrondissement de Chartres";161;2149
282;Châteaudun;"fr:Arrondissement de Châteaudun";80;1448
283;Dreux;"fr:Arrondissement de Dreux";109;1513
284;Nogent-le-Rotrou;"fr:Arrondissement de Nogent-le-Rotrou";52;820
291;Brest;"fr:Arrondissement de Brest";80;1427
292;Châteaulin;"fr:Arrondissement de Châteaulin";61;1810
293;Morlaix;"fr:Arrondissement de Morlaix";60;1330
294;Quimper;"fr:Arrondissement de Quimper";82;2224
2A1;Ajaccio;"fr:Arrondissement d'Ajaccio";80;2205
2A4;Sartène;"fr:Arrondissement de Sartène";44;1828
2B2;Bastia;"fr:Arrondissement de Bastia";27;491
2B3;Corte;"fr:Arrondissement de Corte";158;2872
2B5;Calvi;"fr:Arrondissement de Calvi";51;1340
301;Alès;"fr:Arrondissement d'Alès";101;1328
302;Nimes;"fr:Arrondissement de Nimes";177;3140
303;"Le Vigan";"fr:Arrondissement du Vigan";75;1405
311;Muret;"fr:Arrondissement de Muret";126;1648
312;Saint-Gaudens;"fr:Arrondissement de Saint-Gaudens";237;2164
313;Toulouse;"fr:Arrondissement de Toulouse";226;2547
321;Auch;"fr:Arrondissement d'Auch";154;2144
322;Condom;"fr:Arrondissement de Condom";159;2452
323;Mirande;"fr:Arrondissement de Mirande";150;1702
331;Blaye;"fr:Arrondissement de Blaye";65;846
332;Bordeaux;"fr:Arrondissement de Bordeaux";82;1525
333;Langon;"fr:Arrondissement de Langon";198;2644
334;Lesparre-Médoc;"fr:Arrondissement de Lesparre-Médoc";51;2386
335;Libourne;"fr:Arrondissement de Libourne";129;1291
336;Arcachon;"fr:Arrondissement d'Arcachon";17;1478
341;Béziers;"fr:Arrondissement de Béziers";152;2993
342;Lodève;"fr:Arrondissement de Lodève";98;1823
343;Montpellier;"fr:Arrondissement de Montpellier";93;1415
351;Fougères-Vitré;"fr:Arrondissement de Fougères-Vitré";116;2181
352;Redon;"fr:Arrondissement de Redon";53;1342
353;Rennes;"fr:Arrondissement de Rennes";121;2349
354;Saint-Malo;"fr:Arrondissement de Saint-Malo";63;968
361;"Le Blanc";"fr:Arrondissement du Blanc";56;1824
362;Châteauroux;"fr:Arrondissement de Châteauroux";82;2547
363;"La Châtre";"fr:Arrondissement de La Châtre";58;1335
364;Issoudun;"fr:Arrondissement d'Issoudun";51;1191
371;Chinon;"fr:Arrondissement de Chinon";87;1700
372;Tours;"fr:Arrondissement de Tours";123;2641
373;Loches;"fr:Arrondissement de Loches";67;1816
381;Grenoble;"fr:Arrondissement de Grenoble";297;5142
382;"La Tour-du-Pin";"fr:Arrondissement de La Tour-du-Pin";137;1494
383;Vienne;"fr:Arrondissement de Vienne";99;1241
391;Dole;"fr:Arrondissement de Dole";125;1177
392;Lons-le-Saunier;"fr:Arrondissement de Lons-le-Saunier";349;2858
393;Saint-Claude;"fr:Arrondissement de Saint-Claude";70;1013
401;Dax;"fr:Arrondissement de Dax";153;3214
402;Mont-de-Marsan;"fr:Arrondissement de Mont-de-Marsan";178;6140
411;Blois;"fr:Arrondissement de Blois";121;2253
412;Vendôme;"fr:Arrondissement de Vendôme";107;1725
413;Romorantin-Lanthenay;"fr:Arrondissement de Romorantin-Lanthenay";63;2443
421;Montbrison;"fr:Arrondissement de Montbrison";138;1968
422;Roanne;"fr:Arrondissement de Roanne";115;1791
423;Saint-Étienne;"fr:Arrondissement de Saint-Étienne";74;1044
431;Brioude;"fr:Arrondissement de Brioude";113;1897
432;"Le Puy-en-Velay";"fr:Arrondissement du Puy-en-Velay";103;1941
433;Yssingeaux;"fr:Arrondissement d'Yssingeaux";44;1165
441;Châteaubriant;"fr:Arrondissement de Châteaubriant";53;2162
442;Nantes;"fr:Arrondissement de Nantes";82;2171
443;Saint-Nazaire;"fr:Arrondissement de Saint-Nazaire";57;1789
444;Ancenis;"fr:Arrondissement d'Ancenis";29;794
451;Montargis;"fr:Arrondissement de Montargis";126;2646
452;Orléans;"fr:Arrondissement d'Orléans";122;2964
453;Pithiviers;"fr:Arrondissement de Pithiviers";86;1202
461;Cahors;"fr:Arrondissement de Cahors";135;2183
462;Figeac;"fr:Arrondissement de Figeac";120;1553
463;Gourdon;"fr:Arrondissement de Gourdon";85;1489
471;Agen;"fr:Arrondissement d'Agen";71;1017
472;Marmande;"fr:Arrondissement de Marmande";98;1393
473;Villeneuve-sur-Lot;"fr:Arrondissement de Villeneuve-sur-Lot";92;1566
474;Nérac;"fr:Arrondissement de Nérac";58;1407
481;Florac;"fr:Arrondissement de Florac";50;1690
482;Mende;"fr:Arrondissement de Mende";135;3484
